instancia,q-medio,q-desvio,tempo,alfa,mutacao,filhos
Western Sahara,40336,1535.26,52.20101471199996,80,15,15
Western Sahara,40347,1215.1,52.20098431399947,85,15,15
Western Sahara,40832,1763.36,52.20096386200021,90,15,15
Western Sahara,39819,2281.67,52.201017604999834,5,15,20
Western Sahara,39430,2339.51,52.20107366499997,10,15,20
Western Sahara,39875,1606.22,52.200777451999784,15,15,20
Western Sahara,40717,1474.91,52.20094502399934,20,15,20
Western Sahara,40599,1302.45,52.200939962999655,80,15,20
Western Sahara,41065,1220.96,52.20123497399982,85,15,20
Western Sahara,41760,1431.46,52.20103973200003,90,15,20
Western Sahara,89489,8670.43,52.201215123999646,5,15,85
Western Sahara,89193,7793.96,52.20099328499964,10,15,85
Western Sahara,93358,6243.44,52.20105336300003,15,15,85
Western Sahara,95080,8381.45,52.20101124299981,20,15,85
Western Sahara,89449,5672.0,52.20104372300011,80,15,85
Western Sahara,91420,7314.21,52.20106123400001,85,15,85
Western Sahara,88214,8032.74,52.20111045399972,90,15,85
Western Sahara,92090,6166.57,52.20089029300016,5,15,90
Western Sahara,91074,7759.82,52.20070564300022,10,15,90
Western Sahara,92707,4885.28,52.20087551400047,15,15,90
Western Sahara,91753,6232.09,52.20102276200032,20,15,90
Western Sahara,92902,6786.22,52.20094836200042,80,15,90
Western Sahara,93648,6583.16,52.201011514999664,85,15,90
Western Sahara,90395,9474.27,52.201059234999775,90,15,90
Western Sahara,88944,8065.67,52.200917983999716,5,15,95
Western Sahara,94132,7305.15,52.2011025339998,10,15,95
Western Sahara,93728,7619.11,52.20108270399942,15,15,95
Western Sahara,92426,6037.13,52.200686213000154,20,15,95
Western Sahara,93341,4828.08,52.20078938500046,80,15,95
Western Sahara,93662,8696.31,52.20096607300002,85,15,95
Western Sahara,94237,5571.68,52.20108187199912,90,15,95
Western Sahara,92270,5646.24,52.200765743000375,5,15,100
Western Sahara,88723,5456.91,52.20095045499875,10,15,100
Western Sahara,95897,4882.59,52.20108717200128,15,15,100
Western Sahara,89903,5807.39,52.20120161600062,20,15,100
Western Sahara,87329,7283.2,52.201158803998624,80,15,100
Western Sahara,99265,7080.1,52.20099023399962,85,15,100
Western Sahara,92190,5215.5,52.20117383200159,90,15,100
Western Sahara,40816,1425.9,52.20094183400033,5,20,5
Western Sahara,41258,1557.65,52.20094379500006,10,20,5
Western Sahara,40157,1485.8,52.200842950998776,15,20,5
Western Sahara,41164,1615.63,52.20074848500008,20,20,5
Western Sahara,40632,1468.24,52.20092535099866,80,20,5
Western Sahara,41417,1295.63,52.200848610998946,85,20,5
Western Sahara,40600,1984.71,52.20109688499906,90,20,5
Western Sahara,40800,2000.99,52.20113334300004,5,20,10
Western Sahara,41347,1539.45,52.20098657299968,10,20,10
Western Sahara,40312,1964.57,52.201010152999515,15,20,10
Western Sahara,40699,1983.79,52.20092688299883,20,20,10
Western Sahara,40704,1712.28,52.20094669399987,80,20,10
Western Sahara,41038,1591.01,52.20095168199987,85,20,10
Western Sahara,39751,2044.94,52.2009138500016,90,20,10
Western Sahara,40205,1272.92,52.201006254001186,5,20,15
Western Sahara,39698,1993.83,52.20096024399936,10,20,15
Western Sahara,41309,1791.97,52.200798513000336,15,20,15
Western Sahara,40331,2522.8,52.20111971199913,20,20,15
Western Sahara,41166,1478.6,52.20081696200032,80,20,15
Western Sahara,41164,1959.87,52.20123968400003,85,20,15
Western Sahara,41266,1656.12,52.20097119499951,90,20,15
Western Sahara,39522,1964.41,52.20094110399987,5,20,20
Western Sahara,40700,1022.72,52.20094822399915,10,20,20
Western Sahara,41309,1198.94,52.20086538299984,15,20,20
Western Sahara,40962,2346.09,52.20108740499927,20,20,20
Western Sahara,40694,1326.33,52.2009839429993,80,20,20
Western Sahara,40748,1780.73,52.200791703000505,85,20,20
Western Sahara,40486,2151.95,52.200815373000296,90,20,20
Western Sahara,94714,3140.27,52.20091317200058,5,20,85
Western Sahara,86291,7005.64,52.20112222199896,10,20,85
Western Sahara,91333,10936.03,52.20102468500045,15,20,85
Western Sahara,90863,5379.23,52.20111237399942,20,20,85
Western Sahara,94076,5624.46,52.20119069199973,80,20,85
Western Sahara,92326,10142.77,52.20102100499935,85,20,85
Western Sahara,88827,6837.61,52.20087759299895,90,20,85
Western Sahara,96035,7715.45,52.20100673500019,5,20,90
Western Sahara,89146,7103.87,52.20107654200001,10,20,90
Western Sahara,91987,6479.26,52.201247654000326,15,20,90
Western Sahara,92205,8964.91,52.20095909400152,20,20,90
Western Sahara,95034,7453.78,52.201036214999476,80,20,90
Western Sahara,91556,5220.22,52.20096352300061,85,20,90
Western Sahara,94695,7774.79,52.201075713001046,90,20,90
Western Sahara,93994,6762.62,52.20112053400044,5,20,95
Western Sahara,95102,5232.88,52.20085062399994,10,20,95
Western Sahara,89721,6362.28,52.20086058400011,15,20,95
Western Sahara,95682,6783.19,52.20065043300019,20,20,95
Western Sahara,94234,4604.03,52.20105745299952,80,20,95
Western Sahara,89943,5577.28,52.200839913999516,85,20,95
Western Sahara,93970,6630.03,52.20095953300006,90,20,95
Western Sahara,90072,7724.02,52.20126274500035,5,20,100
Western Sahara,88199,6997.41,52.20114086400099,10,20,100
Western Sahara,86855,5098.26,52.20125259499946,15,20,100
Western Sahara,93986,9556.65,52.20112949400027,20,20,100
Western Sahara,92488,4734.81,52.201198324999496,80,20,100
Western Sahara,88838,7926.13,52.200997252999514,85,20,100
Western Sahara,90056,8798.45,52.201078494001194,90,20,100
Western Sahara,39582,1734.55,52.20088675399893,5,80,5
Western Sahara,39548,2111.51,52.20097209400046,10,80,5
Western Sahara,40278,2588.19,52.20091812199826,15,80,5
Western Sahara,39290,2236.44,52.201081032999355,20,80,5
Western Sahara,38937,2889.43,52.200935162998576,80,80,5
Western Sahara,40082,1232.89,52.201019094,85,80,5
Western Sahara,40237,1748.46,52.20083228399926,90,80,5
Western Sahara,40431,1986.2,52.201053773998865,5,80,10
Western Sahara,39240,1426.56,52.20110825399934,10,80,10
Western Sahara,40048,2323.38,52.20099023500006,15,80,10
Western Sahara,40052,2009.69,52.20089423299942,20,80,10
Western Sahara,40111,2219.49,52.20073771399984,80,80,10
Western Sahara,39972,2575.07,52.20086678400003,85,80,10
Western Sahara,40035,1682.41,52.20116574399981,90,80,10
Western Sahara,41060,1809.95,52.20109508400128,5,80,15
